product_id,product_name,category,cost_price,current_price,competitor_price,historical_avg_price,delivery_cost,sales_volume_30d
PRD00041,Produit ELE-0041,Electroménager,528.54,753.0,731.57,604.33,0.0,235
PRD00042,Produit BEA-0042,Beauté,614.06,688.62,731.25,689.17,0.0,497
PRD00043,Produit TÉL-0043,Téléphonie,677.51,885.38,915.86,861.55,0.0,322
PRD00044,Produit JOU-0044,Jouets,492.82,712.73,610.23,713.76,0.0,332
PRD00045,Produit JEU-0045,Jeux vidéo,75.44,87.39,76.49,88.99,0.0,355
PRD00046,Produit JEU-0046,Jeux vidéo,392.66,635.74,396.54,420.17,0.0,104
PRD00047,Produit JOU-0047,Jouets,66.73,91.61,79.62,95.0,0.0,254
PRD00048,Produit BEA-0048,Beauté,329.0,390.99,387.2,394.66,0.0,303
PRD00049,Produit SPO-0049,Sport,328.65,456.95,442.29,479.32,0.0,395
PRD00050,Produit SPO-0050,Sport,57.48,77.39,83.05,73.72,0.0,19
PRD00051,Produit BEA-0051,Beauté,282.31,403.98,419.12,417.37,0.0,358
PRD00052,Produit SPO-0052,Sport,93.24,67.46,122.7,119.29,0.0,491
PRD00053,Produit ELE-0053,Electroménager,647.55,862.34,875.44,830.68,0.0,71
PRD00054,Produit JEU-0054,Jeux vidéo,758.41,957.64,907.08,941.87,0.0,116
PRD00055,Produit BEA-0055,Beauté,62.49,82.53,97.67,85.71,0.0,366
PRD00056,Produit JEU-0056,Jeux vidéo,764.32,961.03,845.94,962.8,0.0,129
PRD00057,Produit JOU-0057,Jouets,420.45,490.25,577.81,485.41,0.0,458
PRD00058,Produit INF-0058,Informatique,243.15,310.69,297.93,323.29,0.0,119
PRD00059,Produit ELE-0059,Electroménager,66.11,84.95,87.45,81.5,0.0,212
PRD00060,Produit MAI-0060,Maison,403.0,557.64,495.24,556.14,0.0,228
PRD00061,Produit ELE-0061,Electroménager,636.64,864.2,756.02,877.37,0.0,182
PRD00062,Produit BEA-0062,Beauté,567.13,755.6,755.86,763.8,0.0,133
PRD00063,Produit MAI-0063,Maison,44.93,51.21,56.82,50.0,0.0,338
PRD00064,Produit INF-0064,Informatique,62.96,85.14,80.4,85.68,0.0,477
PRD00065,Produit BEA-0065,Beauté,325.28,414.77,434.19,423.42,0.0,493
PRD00066,Produit TÉL-0066,Téléphonie,239.76,338.77,320.99,341.65,0.0,230
PRD00067,Produit JEU-0067,Jeux vidéo,189.75,269.82,266.05,274.8,0.0,383
PRD00068,Produit INF-0068,Informatique,228.4,351.23,298.41,249.41,0.0,363
PRD00069,Produit JEU-0069,Jeux vidéo,643.77,893.05,1026.6,922.78,0.0,445
PRD00070,Produit SPO-0070,Sport,743.74,1124.42,853.27,823.76,0.0,432
PRD00071,Produit TÉL-0071,Téléphonie,327.06,401.8,375.01,421.38,0.0,483
PRD00072,Produit TÉL-0072,Téléphonie,725.36,935.57,858.49,890.97,0.0,339
PRD00073,Produit INF-0073,Informatique,260.59,205.82,355.37,296.57,0.0,437
PRD00074,Produit TÉL-0074,Téléphonie,383.77,317.71,481.1,505.7,0.0,245
PRD00075,Produit MAI-0075,Maison,184.69,203.7,230.76,204.83,0.0,393
PRD00076,Produit TÉL-0076,Téléphonie,514.18,595.94,583.51,580.64,0.0,407
PRD00077,Produit JEU-0077,Jeux vidéo,783.29,808.68,1219.9,1045.09,0.0,251
PRD00078,Produit JEU-0078,Jeux vidéo,484.78,654.47,640.63,679.46,0.0,224
PRD00079,Produit BEA-0079,Beauté,289.46,411.27,400.18,399.38,0.0,156
PRD00080,Produit JEU-0080,Jeux vidéo,520.01,494.14,751.62,676.64,0.0,118
PRD00081,Produit BEA-0081,Beauté,102.72,137.14,162.72,142.29,0.0,93
PRD00082,Produit JEU-0082,Jeux vidéo,711.48,880.83,1049.66,868.61,0.0,227
PRD00083,Produit MAI-0083,Maison,404.95,445.63,489.09,442.71,0.0,364
PRD00084,Produit JOU-0084,Jouets,362.23,413.69,460.9,402.15,0.0,389
PRD00085,Produit BEA-0085,Beauté,470.76,605.91,634.5,601.38,0.0,185
PRD00086,Produit ELE-0086,Electroménager,501.7,670.42,747.2,652.41,0.0,494
PRD00087,Produit SPO-0087,Sport,62.06,77.33,89.0,78.61,0.0,333
PRD00088,Produit INF-0088,Informatique,547.68,742.51,757.46,742.43,0.0,184
PRD00089,Produit JEU-0089,Jeux vidéo,197.34,253.12,270.07,260.41,0.0,386
PRD00090,Produit TÉL-0090,Téléphonie,572.59,644.71,669.25,632.64,0.0,279
PRD00091,Produit JOU-0091,Jouets,658.92,769.1,805.14,769.53,0.0,402
PRD00092,Produit JEU-0092,Jeux vidéo,644.15,897.94,1042.97,876.35,0.0,229
PRD00093,Produit TÉL-0093,Téléphonie,444.24,601.38,586.02,627.51,0.0,481
PRD00094,Produit SPO-0094,Sport,418.54,591.47,545.85,592.77,0.0,264
PRD00095,Produit SPO-0095,Sport,118.59,85.11,136.64,130.91,0.0,157
PRD00096,Produit SPO-0096,Sport,621.4,582.55,829.53,878.47,0.0,351
PRD00097,Produit TÉL-0097,Téléphonie,220.77,259.03,265.36,248.23,0.0,76
PRD00098,Produit JEU-0098,Jeux vidéo,399.87,441.51,514.9,420.66,0.0,81
PRD00099,Produit SPO-0099,Sport,231.0,334.74,356.87,335.61,0.0,427
PRD00100,Produit MAI-0100,Maison,111.39,133.49,153.43,131.32,0.0,180
PRD00101,Produit BEA-0101,Beauté,505.5,674.24,612.32,705.51,0.0,341
PRD00102,Produit TÉL-0102,Téléphonie,48.19,55.99,65.25,54.15,0.0,195
PRD00103,Produit TÉL-0103,Téléphonie,600.17,782.07,829.48,805.06,0.0,59
PRD00104,Produit JEU-0104,Jeux vidéo,257.48,364.7,314.05,357.99,0.0,150
PRD00105,Produit TÉL-0105,Téléphonie,5.11,6.19,6.63,6.02,6.01,60
PRD00106,Produit TÉL-0106,Téléphonie,411.35,548.98,649.44,574.76,0.0,134
PRD00107,Produit SPO-0107,Sport,42.25,49.25,43.23,50.74,3.09,427
PRD00108,Produit JEU-0108,Jeux vidéo,224.55,296.11,312.06,299.98,0.0,438
PRD00109,Produit SPO-0109,Sport,567.05,690.53,808.21,704.14,0.0,330
PRD00110,Produit BEA-0110,Beauté,54.84,64.38,54.94,67.54,0.0,38
PRD00111,Produit JOU-0111,Jouets,672.27,813.19,870.78,820.77,0.0,252
PRD00112,Produit BEA-0112,Beauté,8.04,5.23,9.5,8.98,3.75,377
PRD00113,Produit JOU-0113,Jouets,201.22,284.86,276.73,272.46,0.0,442
PRD00114,Produit SPO-0114,Sport,594.02,736.0,787.25,748.26,0.0,105
PRD00115,Produit BEA-0115,Beauté,256.43,304.09,264.09,308.88,0.0,232
PRD00116,Produit JEU-0116,Jeux vidéo,86.0,108.1,120.38,110.78,0.0,353
PRD00117,Produit INF-0117,Informatique,291.39,447.12,300.79,339.4,0.0,388
PRD00118,Produit SPO-0118,Sport,219.96,392.56,286.53,312.58,0.0,169
PRD00119,Produit JOU-0119,Jouets,674.96,971.89,997.53,976.86,0.0,216
PRD00120,Produit MAI-0120,Maison,254.11,318.48,312.73,323.24,0.0,347
PRD00121,Produit JOU-0121,Jouets,632.2,885.94,848.39,844.73,0.0,13
PRD00122,Produit MAI-0122,Maison,714.04,926.86,1057.35,969.59,0.0,410
PRD00123,Produit TÉL-0123,Téléphonie,349.88,404.12,475.73,406.65,0.0,15
PRD00124,Produit BEA-0124,Beauté,728.4,977.31,1129.57,983.5,0.0,218
PRD00125,Produit MAI-0125,Maison,304.97,390.27,403.09,407.58,0.0,385
PRD00126,Produit JOU-0126,Jouets,771.44,1024.25,1187.57,1068.23,0.0,402
PRD00127,Produit TÉL-0127,Téléphonie,75.99,107.25,125.73,104.25,0.0,406
PRD00128,Produit INF-0128,Informatique,551.18,691.26,686.58,721.06,0.0,168
PRD00129,Produit JEU-0129,Jeux vidéo,397.58,562.74,534.16,576.06,0.0,13
PRD00130,Produit JEU-0130,Jeux vidéo,313.18,426.78,377.44,406.25,0.0,430
PRD00131,Produit JEU-0131,Jeux vidéo,508.01,645.69,657.11,628.89,0.0,242
PRD00132,Produit MAI-0132,Maison,564.57,864.17,874.35,733.78,0.0,318
PRD00133,Produit INF-0133,Informatique,8.47,5.74,10.76,10.37,6.75,473
PRD00134,Produit MAI-0134,Maison,137.73,198.92,215.56,202.92,0.0,7
PRD00135,Produit BEA-0135,Beauté,571.87,762.63,678.37,740.53,0.0,282
PRD00136,Produit MAI-0136,Maison,534.78,596.46,536.95,616.54,0.0,110
PRD00137,Produit INF-0137,Informatique,773.01,938.68,950.48,971.13,0.0,39
PRD00138,Produit INF-0138,Informatique,610.03,804.12,951.23,814.98,0.0,411
PRD00139,Produit BEA-0139,Beauté,760.86,851.95,831.74,887.83,0.0,67
PRD00140,Produit INF-0140,Informatique,563.52,624.58,722.71,644.13,0.0,122
PRD00141,Produit JOU-0141,Jouets,241.95,304.25,271.42,295.78,0.0,316
PRD00142,Produit INF-0142,Informatique,88.77,107.98,115.1,111.21,0.0,165
PRD00143,Produit JEU-0143,Jeux vidéo,626.55,785.32,832.61,820.91,0.0,202
PRD00144,Produit JOU-0144,Jouets,517.1,616.35,709.39,594.01,0.0,127
PRD00145,Produit JOU-0145,Jouets,43.31,50.14,42.68,52.54,0.0,363
PRD00146,Produit BEA-0146,Beauté,291.24,390.61,357.98,372.06,0.0,151
PRD00147,Produit ELE-0147,Electroménager,765.66,980.12,908.46,982.29,0.0,411
PRD00148,Produit ELE-0148,Electroménager,402.82,471.32,557.33,484.23,0.0,424
PRD00149,Produit INF-0149,Informatique,349.02,422.96,382.27,435.24,0.0,145
PRD00150,Produit JOU-0150,Jouets,368.87,482.16,416.07,493.47,0.0,48
PRD00151,Produit ELE-0151,Electroménager,171.06,192.49,199.62,193.05,0.0,468
PRD00152,Produit ELE-0152,Electroménager,298.12,343.32,355.33,348.5,0.0,409
PRD00153,Produit INF-0153,Informatique,299.0,336.57,385.51,343.3,0.0,2
PRD00154,Produit ELE-0154,Electroménager,46.62,64.54,76.29,64.5,0.0,250
PRD00155,Produit MAI-0155,Maison,615.22,838.76,871.04,846.79,0.0,76
PRD00156,Produit TÉL-0156,Téléphonie,336.12,458.35,538.79,474.23,0.0,421
PRD00157,Produit BEA-0157,Beauté,658.63,889.62,981.97,872.97,0.0,219
PRD00158,Produit TÉL-0158,Téléphonie,681.03,577.24,856.53,910.8,0.0,397
PRD00159,Produit INF-0159,Informatique,173.54,219.87,258.34,209.06,0.0,384
PRD00160,Produit JEU-0160,Jeux vidéo,527.6,698.96,757.4,712.06,0.0,347
PRD00161,Produit BEA-0161,Beauté,380.46,423.61,421.46,410.71,0.0,378
PRD00162,Produit INF-0162,Informatique,704.72,928.48,1010.26,926.72,0.0,227
PRD00163,Produit JOU-0163,Jouets,176.51,242.22,239.91,235.2,0.0,117
PRD00164,Produit JEU-0164,Jeux vidéo,543.86,693.49,617.18,660.45,0.0,497
PRD00165,Produit TÉL-0165,Téléphonie,488.16,598.06,658.85,597.06,0.0,266
PRD00166,Produit INF-0166,Informatique,239.76,287.02,326.75,284.86,0.0,234
PRD00167,Produit JOU-0167,Jouets,113.6,150.52,166.34,149.39,0.0,167
PRD00168,Produit BEA-0168,Beauté,523.05,702.18,653.16,681.73,0.0,259
PRD00169,Produit BEA-0169,Beauté,592.18,831.92,985.68,869.12,0.0,417
PRD00170,Produit SPO-0170,Sport,255.92,172.84,268.11,296.68,0.0,192
PRD00171,Produit JOU-0171,Jouets,517.64,357.22,685.08,736.63,0.0,183
PRD00172,Produit MAI-0172,Maison,319.13,486.23,389.34,423.54,0.0,9
PRD00173,Produit ELE-0173,Electroménager,572.0,805.94,698.62,779.51,0.0,336
PRD00174,Produit JEU-0174,Jeux vidéo,163.38,167.43,208.22,209.32,0.0,326
PRD00175,Produit JOU-0175,Jouets,712.72,913.12,975.29,957.76,0.0,358
PRD00176,Produit SPO-0176,Sport,233.49,304.06,352.37,308.43,0.0,447
PRD00177,Produit ELE-0177,Electroménager,297.39,405.12,484.68,390.02,0.0,140
PRD00178,Produit ELE-0178,Electroménager,51.18,73.58,83.35,73.27,0.0,21
PRD00179,Produit INF-0179,Informatique,93.65,105.43,106.91,105.09,0.0,311
PRD00180,Produit ELE-0180,Electroménager,415.11,464.38,512.35,478.42,0.0,377
PRD00181,Produit MAI-0181,Maison,217.74,310.96,356.13,323.9,0.0,192
PRD00182,Produit BEA-0182,Beauté,669.21,860.24,871.3,824.3,0.0,91
PRD00183,Produit SPO-0183,Sport,16.68,21.94,24.68,21.53,3.69,96
PRD00184,Produit ELE-0184,Electroménager,306.38,388.75,396.11,380.91,0.0,140
PRD00185,Produit INF-0185,Informatique,273.19,309.46,304.9,324.81,0.0,256
PRD00186,Produit MAI-0186,Maison,20.37,27.88,28.83,28.05,4.58,37
PRD00187,Produit TÉL-0187,Téléphonie,103.87,141.42,153.66,146.79,0.0,246
PRD00188,Produit BEA-0188,Beauté,333.85,403.66,445.81,400.67,0.0,255
PRD00189,Produit BEA-0189,Beauté,396.83,479.05,467.01,489.72,0.0,441
PRD00190,Produit SPO-0190,Sport,326.41,454.77,477.49,445.06,0.0,408
PRD00191,Produit BEA-0191,Beauté,427.1,480.63,561.59,500.42,0.0,297
PRD00192,Produit ELE-0192,Electroménager,478.13,673.39,802.49,670.37,0.0,84
PRD00193,Produit INF-0193,Informatique,12.89,15.34,14.26,15.81,5.52,416
PRD00194,Produit BEA-0194,Beauté,373.96,488.97,448.63,477.03,0.0,440
PRD00195,Produit BEA-0195,Beauté,770.98,1100.65,1196.23,1121.96,0.0,36
PRD00196,Produit TÉL-0196,Téléphonie,417.63,558.51,555.8,553.21,0.0,184
PRD00197,Produit TÉL-0197,Téléphonie,543.65,676.87,581.08,645.15,0.0,97
PRD00198,Produit JEU-0198,Jeux vidéo,252.93,339.26,329.56,336.31,0.0,317
PRD00199,Produit MAI-0199,Maison,620.32,757.03,857.23,760.82,0.0,386
PRD00200,Produit ELE-0200,Electroménager,619.47,1100.11,837.26,715.71,0.0,29
PRD00201,Produit BEA-0201,Beauté,419.43,607.69,621.75,588.48,0.0,450
PRD00202,Produit JOU-0202,Jouets,780.93,1064.23,1080.62,1060.49,0.0,190
PRD00203,Produit BEA-0203,Beauté,104.81,138.94,146.28,136.75,0.0,337
PRD00204,Produit INF-0204,Informatique,18.47,22.61,20.95,22.48,5.48,278
PRD00205,Produit JEU-0205,Jeux vidéo,617.28,376.75,713.16,686.93,0.0,455
PRD00206,Produit MAI-0206,Maison,646.69,718.39,613.41,692.53,0.0,200
PRD00207,Produit JOU-0207,Jouets,100.56,130.12,132.26,125.97,0.0,321
PRD00208,Produit JEU-0208,Jeux vidéo,216.14,295.4,285.83,305.68,0.0,188
PRD00209,Produit SPO-0209,Sport,18.95,24.41,26.51,23.59,3.69,257
PRD00210,Produit MAI-0210,Maison,238.18,332.09,356.47,337.6,0.0,154
PRD00211,Produit BEA-0211,Beauté,619.65,688.86,677.35,683.25,0.0,431
PRD00212,Produit BEA-0212,Beauté,416.78,511.96,436.47,535.93,0.0,486
PRD00213,Produit MAI-0213,Maison,281.74,333.29,312.72,318.83,0.0,318
PRD00214,Produit BEA-0214,Beauté,300.53,377.63,404.7,390.11,0.0,227
PRD00215,Produit ELE-0215,Electroménager,6.08,3.82,5.99,6.83,5.07,4
PRD00216,Produit MAI-0216,Maison,243.34,251.85,309.75,331.68,0.0,128
PRD00217,Produit JEU-0217,Jeux vidéo,518.93,864.55,658.12,596.92,0.0,405
PRD00218,Produit MAI-0218,Maison,779.48,1109.05,1236.06,1098.81,0.0,73
PRD00219,Produit JOU-0219,Jouets,678.41,847.38,815.64,831.64,0.0,364
PRD00220,Produit BEA-0220,Beauté,23.76,17.45,35.06,33.86,3.97,23
PRD00221,Produit ELE-0221,Electroménager,719.36,930.79,1099.26,969.57,0.0,314
PRD00222,Produit ELE-0222,Electroménager,627.64,490.56,1056.8,882.44,0.0,462
PRD00223,Produit SPO-0223,Sport,625.4,689.11,659.91,683.52,0.0,480
PRD00224,Produit JEU-0224,Jeux vidéo,369.11,502.68,569.79,515.81,0.0,433
PRD00225,Produit TÉL-0225,Téléphonie,321.41,455.14,481.48,468.51,0.0,278
PRD00226,Produit TÉL-0226,Téléphonie,245.82,282.42,336.48,270.67,0.0,205
PRD00227,Produit MAI-0227,Maison,57.23,64.88,65.99,66.2,0.0,145
PRD00228,Produit SPO-0228,Sport,186.45,232.8,261.0,232.39,0.0,88
PRD00229,Produit INF-0229,Informatique,201.05,286.86,320.95,276.36,0.0,21
PRD00230,Produit MAI-0230,Maison,389.84,502.83,514.95,491.0,0.0,299
PRD00231,Produit SPO-0231,Sport,599.22,769.76,868.65,734.74,0.0,43
PRD00232,Produit JEU-0232,Jeux vidéo,381.68,438.7,412.98,432.57,0.0,36
PRD00233,Produit JEU-0233,Jeux vidéo,50.99,56.1,50.09,54.73,0.0,6
PRD00234,Produit JEU-0234,Jeux vidéo,766.44,1060.41,1059.15,1047.91,0.0,473
PRD00235,Produit JEU-0235,Jeux vidéo,754.47,853.04,1006.82,859.89,0.0,279
PRD00236,Produit JEU-0236,Jeux vidéo,629.23,831.75,852.76,851.07,0.0,460
PRD00237,Produit SPO-0237,Sport,793.11,1126.31,1207.79,1138.18,0.0,168
PRD00238,Produit SPO-0238,Sport,437.86,513.62,548.78,522.78,0.0,69
PRD00239,Produit ELE-0239,Electroménager,770.4,1026.82,920.44,1064.36,0.0,212
PRD00240,Produit JOU-0240,Jouets,65.11,73.41,72.43,76.15,0.0,70
PRD00241,Produit TÉL-0241,Téléphonie,295.72,387.78,425.56,401.77,0.0,401
PRD00242,Produit BEA-0242,Beauté,184.18,213.17,253.71,205.78,0.0,206
PRD00243,Produit JEU-0243,Jeux vidéo,160.69,218.15,198.26,212.72,0.0,71
PRD00244,Produit INF-0244,Informatique,116.94,140.96,140.07,140.99,0.0,315
PRD00245,Produit BEA-0245,Beauté,499.82,630.87,557.24,621.96,0.0,179
PRD00246,Produit SPO-0246,Sport,626.15,820.13,766.68,789.92,0.0,207
PRD00247,Produit INF-0247,Informatique,464.75,359.02,529.3,527.64,0.0,176
PRD00248,Produit INF-0248,Informatique,121.84,165.65,172.15,173.53,0.0,194
PRD00249,Produit INF-0249,Informatique,649.84,783.66,729.35,771.66,0.0,300
PRD00250,Produit ELE-0250,Electroménager,510.58,680.01,632.17,674.5,0.0,392
PRD00251,Produit SPO-0251,Sport,313.59,522.39,406.61,344.44,0.0,371
PRD00252,Produit INF-0252,Informatique,540.93,519.63,860.88,741.21,0.0,238
PRD00253,Produit JEU-0253,Jeux vidéo,211.62,242.28,233.38,240.19,0.0,153
PRD00254,Produit MAI-0254,Maison,279.43,442.03,380.66,335.12,0.0,153
PRD00255,Produit INF-0255,Informatique,734.4,871.38,819.38,912.21,0.0,29
PRD00256,Produit ELE-0256,Electroménager,235.95,321.35,377.52,330.27,0.0,26
PRD00257,Produit BEA-0257,Beauté,378.64,451.23,489.82,461.43,0.0,463
PRD00258,Produit SPO-0258,Sport,712.66,1003.85,1135.29,1049.81,0.0,239
PRD00259,Produit JOU-0259,Jouets,567.64,801.59,695.2,794.17,0.0,242
PRD00260,Produit ELE-0260,Electroménager,54.45,63.64,67.43,65.03,0.0,131
PRD00261,Produit INF-0261,Informatique,122.11,160.56,166.13,155.84,0.0,178
PRD00262,Produit SPO-0262,Sport,11.23,12.7,12.1,12.95,4.77,338
PRD00263,Produit MAI-0263,Maison,506.58,626.66,590.22,596.21,0.0,97
PRD00264,Produit INF-0264,Informatique,360.9,487.09,512.91,468.89,0.0,325
PRD00265,Produit ELE-0265,Electroménager,111.75,148.72,163.19,147.61,0.0,236
PRD00266,Produit TÉL-0266,Téléphonie,766.56,1010.82,870.93,961.5,0.0,334
PRD00267,Produit JEU-0267,Jeux vidéo,426.08,510.82,535.64,508.88,0.0,137
PRD00268,Produit JOU-0268,Jouets,197.31,243.15,221.18,243.7,0.0,117
PRD00269,Produit BEA-0269,Beauté,402.98,457.8,411.62,463.37,0.0,105
PRD00270,Produit ELE-0270,Electroménager,545.3,737.06,787.25,707.61,0.0,35
PRD00271,Produit SPO-0271,Sport,65.61,83.74,80.29,81.07,0.0,45
PRD00272,Produit JOU-0272,Jouets,223.39,301.14,302.44,304.55,0.0,103
PRD00273,Produit JOU-0273,Jouets,646.54,767.53,749.11,779.67,0.0,389
PRD00274,Produit JOU-0274,Jouets,370.43,449.54,484.12,428.23,0.0,363
PRD00275,Produit INF-0275,Informatique,439.53,534.9,542.68,537.06,0.0,359
PRD00276,Produit JEU-0276,Jeux vidéo,349.09,387.14,459.62,398.17,0.0,69
PRD00277,Produit INF-0277,Informatique,39.9,48.65,47.35,46.55,4.38,206
PRD00278,Produit SPO-0278,Sport,136.77,188.9,209.51,187.26,0.0,220
PRD00279,Produit INF-0279,Informatique,359.21,507.94,477.49,499.13,0.0,88
PRD00280,Produit TÉL-0280,Téléphonie,171.3,219.5,225.66,228.58,0.0,466
PRD00281,Produit JEU-0281,Jeux vidéo,44.73,56.33,58.77,54.56,0.0,461
PRD00282,Produit JEU-0282,Jeux vidéo,675.7,750.56,724.43,736.93,0.0,2
PRD00283,Produit SPO-0283,Sport,785.05,691.85,1121.84,1149.16,0.0,433
PRD00284,Produit BEA-0284,Beauté,635.55,702.0,665.32,690.11,0.0,297
PRD00285,Produit TÉL-0285,Téléphonie,683.76,978.23,833.55,981.3,0.0,365
PRD00286,Produit ELE-0286,Electroménager,197.37,250.9,232.2,239.18,0.0,461
PRD00287,Produit INF-0287,Informatique,768.7,503.65,1026.66,983.03,0.0,437
PRD00288,Produit MAI-0288,Maison,161.56,229.98,257.54,237.45,0.0,230
PRD00289,Produit INF-0289,Informatique,761.39,844.03,800.2,855.37,0.0,422
PRD00290,Produit JOU-0290,Jouets,795.88,1037.43,1029.98,991.86,0.0,468
PRD00291,Produit INF-0291,Informatique,570.82,737.57,636.58,706.21,0.0,117
PRD00292,Produit ELE-0292,Electroménager,785.01,923.77,861.85,927.92,0.0,310
PRD00293,Produit INF-0293,Informatique,457.78,572.28,642.51,559.98,0.0,394
PRD00294,Produit TÉL-0294,Téléphonie,211.34,280.72,298.15,284.17,0.0,113
PRD00295,Produit TÉL-0295,Téléphonie,352.41,477.34,440.12,482.03,0.0,201
PRD00296,Produit JEU-0296,Jeux vidéo,476.88,524.69,493.26,542.46,0.0,462
PRD00297,Produit SPO-0297,Sport,63.1,90.1,102.34,88.13,0.0,29
PRD00298,Produit BEA-0298,Beauté,499.76,578.51,534.07,583.01,0.0,363
PRD00299,Produit MAI-0299,Maison,785.04,927.72,897.06,953.45,0.0,246
PRD00300,Produit JOU-0300,Jouets,156.14,186.15,201.51,185.98,0.0,80
PRD00301,Produit INF-0301,Informatique,635.11,707.03,739.83,730.41,0.0,245
PRD00302,Produit INF-0302,Informatique,726.78,620.87,840.15,800.13,0.0,183
PRD00303,Produit ELE-0303,Electroménager,755.24,1091.49,1271.49,1117.02,0.0,412
PRD00304,Produit SPO-0304,Sport,768.31,777.36,861.93,971.1,0.0,272
PRD00305,Produit TÉL-0305,Téléphonie,419.56,478.45,530.84,470.41,0.0,32
PRD00306,Produit MAI-0306,Maison,781.96,889.44,805.54,877.55,0.0,101
PRD00307,Produit JEU-0307,Jeux vidéo,607.06,820.63,874.39,786.45,0.0,276
PRD00308,Produit TÉL-0308,Téléphonie,133.53,186.82,215.72,189.46,0.0,110
PRD00309,Produit JOU-0309,Jouets,384.14,457.1,461.79,459.5,0.0,498
PRD00310,Produit SPO-0310,Sport,576.07,637.89,703.91,608.57,0.0,205
PRD00311,Produit JOU-0311,Jouets,201.64,237.55,270.13,243.54,0.0,265
PRD00312,Produit BEA-0312,Beauté,514.29,575.89,516.92,594.85,0.0,489
PRD00313,Produit JEU-0313,Jeux vidéo,534.95,607.8,666.78,632.54,0.0,214
PRD00314,Produit BEA-0314,Beauté,134.35,249.13,196.98,168.85,0.0,102
PRD00315,Produit ELE-0315,Electroménager,454.24,684.08,563.96,533.68,0.0,294
PRD00316,Produit JOU-0316,Jouets,618.44,911.75,724.76,821.75,0.0,77
